PERIOD,UNIT_ID,UNIT_NAME,UNIT_TYPE,AREA_CODE,AREA_NAME,REG_CODE,REG_NAME,TOPIC_REASON_1,TOPIC_REASON_2,TOPIC_RESULT,SERVICE,BRAND,APP_ID,JML
2023-05-15,1000499,GraPARI Telkom Group Medan,gerai,1,Sumatera,1,Sumbagut,MUTASI,CLS,I55-Informasi syarat dan ketentuan perubahan CLS,I,KartuHalo,DSC,2
2023-05-15,1000499,GraPARI Telkom Group Medan,gerai,1,Sumatera,1,Sumbagut,BACKEND QUERY & SYSTEM,Detractor,K85-Follow Up Network Detractor dan Internal Complaint,K,simPATI,DSC,1
2023-05-15,1000499,GraPARI Telkom Group Medan,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,SMOOA,K43-Sudah registrasi kuota belum didapatkan,K,simPATI,DSC,1
2023-05-15,1000499,GraPARI Telkom Group Medan,gerai,1,Sumatera,1,Sumbagut,Data Service,Paket Data Kuota Roaming,P32-Permintaan Aktivasi Layanan,P,KartuHalo,DSC,1
2023-05-15,1000499,GraPARI Telkom Group Medan,gerai,1,Sumatera,1,Sumbagut,MUTASI,Profile Pelanggan,P51-Permintaan Registrasi IMEI Roamer,P,simPATI,DSC,3
2023-05-15,1000499,GraPARI Telkom Group Medan,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Aktivasi Paket,P21-Permintaan aktivasi produk,P,skunk,DSC,2
2023-05-15,1000499,GraPARI Telkom Group Medan,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Digital Life Style,P26-Permintaan aktivasi produk,P,simPATI,DSC,2
2023-05-15,1000499,GraPARI Telkom Group Medan,gerai,1,Sumatera,1,Sumbagut,TERMINASI,Unregistrasi Prabayar,P72-Permintaan unregistrasi Prabayar,P,kartu As,DSC,1
2023-05-15,1000598,GraPARI Telkom Group Pematang Siantar,gerai,1,Sumatera,1,Sumbagut,BACKEND QUERY & SYSTEM,Validasi Pelanggan,C81-Pengecekan status aktivasi nomor,C,skunk,DSC,1
2023-05-15,1000598,GraPARI Telkom Group Pematang Siantar,gerai,1,Sumatera,1,Sumbagut,TAGIHAN & PEMBAYARAN,Tagihan Pelanggan,I42-Informasi tagihan berjalan,I,KartuHalo,DSC,1
2023-05-15,1000598,GraPARI Telkom Group Pematang Siantar,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Digital Life Style,I26-Informasi channel produk,I,simPATI,DSC,15
2023-05-15,1000598,GraPARI Telkom Group Pematang Siantar,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Reaktivasi Prabayar,P14-Permintaan Reaktivasi,P,simPATI,DSC,2
2023-05-15,1100,GraPARI Langsa,gerai,1,Sumatera,1,Sumbagut,BACKEND QUERY & SYSTEM,Validasi Pelanggan,C81-Pengecekan status aktivasi nomor,C,KartuHalo,DSC,2
2023-05-15,1100,GraPARI Langsa,gerai,1,Sumatera,1,Sumbagut,MUTASI,Ganti Kartu,I51-Informasi syarat dan ketentuan,I,simPATI,DSC,1
2023-05-15,1100,GraPARI Langsa,gerai,1,Sumatera,1,Sumbagut,MUTASI,CLS,P55-Permintaan perubahan modify CLS (downgrade),P,KartuHalo,DSC,2
2023-05-15,1100,GraPARI Langsa,gerai,1,Sumatera,1,Sumbagut,MUTASI,Ganti Paket,P54-Permintaan modify offer/VAS,P,KartuHalo,DSC,2
2023-05-15,1100,GraPARI Langsa,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Aktivasi Paket,P21-Permintaan aktivasi produk,P,simPATI,DSC,11
2023-05-15,1100,GraPARI Langsa,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Aktivasi Paket,P21-Permintaan aktivasi produk,P,kartu As,DSC,10
2023-05-15,1100,GraPARI Langsa,gerai,1,Sumatera,1,Sumbagut,CAMPAIGN & LOYALTY,Redeem POIN,P64-Permintaan Penukaran POIN,P,simPATI,DSC,1
2023-05-15,1100,GraPARI Langsa,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,PSB,P11-Permintaan aktivasi gimmick / diskon Halo,P,KartuHalo,DSC,1
2023-05-15,1103,GraPARI Kabanjahe,gerai,1,Sumatera,1,Sumbagut,MUTASI,Card Profile,I51-Informasi PUK,I,skunk,DSC,1
2023-05-15,1103,GraPARI Kabanjahe,gerai,1,Sumatera,1,Sumbagut,MUTASI,CLS,P55-Permintaan perubahan modify CLS (upgrade),P,KartuHalo,DSC,1
2023-05-15,1103,GraPARI Kabanjahe,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Aktivasi Paket,P21-Permintaan aktivasi produk,P,KartuHalo,DSC,3
2023-05-15,1103,GraPARI Kabanjahe,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Digital Life Style,P26-Permintaan aktivasi produk,P,simPATI,DSC,4
2023-05-15,1103,GraPARI Kabanjahe,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Perdana PraBayar,P12-Permintaan pembelian perdana PraBayar,P,simPATI,DSC,1
2023-05-15,1105,GraPARI Lubuk Pakam,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Perdana PraBayar,I12-Informasi syarat, ketentuan, spesifikasi & tarif PraBayar,I,simPATI,DSC,2
